JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Montant	Sens	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
ANO	ANO - A nouveaux	2024010000000004	20240101	101300	Capital souscrit-appelé, versé			ANO	20240101	A-Nouveaux 2024	30000,00	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	110000	Report à nouveau (solde créditeur)			ANO	20240101	A-Nouveaux 2024	38150,81	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	119000	Report à nouveau (solde débiteur)			ANO	20240101	A-Nouveaux 2024	442773,67	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	129000	Perte			ANO	20240101	A-Nouveaux 2024	85906,28	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	205100	Logiciels			ANO	20240101	A-Nouveaux 2024	7705,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	218300	Matériel de bureau			ANO	20240101	A-Nouveaux 2024	42469,50	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	218300	Matériel de bureau			ANO	20240101	A-Nouveaux 2024	21234,75	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	218310	Matériel informatique			ANO	20240101	A-Nouveaux 2024	3876,70	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	218310	Matériel informatique			ANO	20240101	A-Nouveaux 2024	1938,35	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	261200	XELYA SGE 1T2019			ANO	20240101	A-Nouveaux 2024	208,56	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	261200	XELYA SGE 1T2019			ANO	20240101	A-Nouveaux 2024	208,56	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	280510	Amortis. logiciels			ANO	20240101	A-Nouveaux 2024	-1449,66	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	280510	Amortis. logiciels			ANO	20240101	A-Nouveaux 2024	6255,34	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	281830	Amortis. matér.bureau et informat.			ANO	20240101	A-Nouveaux 2024	4080,38	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	281830	Amortis. matér.bureau et informat.			ANO	20240101	A-Nouveaux 2024	25315,13	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	281831	Amortis. Matériel Informatique			ANO	20240101	A-Nouveaux 2024	1938,15	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	401000	Fournisseurs	AZUREC	AZURECCA	ANO	20240101	A-Nouveaux 2024	2400,00	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	401000	Fournisseurs	LVPRO0	LEGAL VISION PRO	ANO	20240101	A-Nouveaux 2024	75,37	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	401000	Fournisseurs	PREFER	PREFERENCE SEARCH	ANO	20240101	A-Nouveaux 2024	8664,00	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	401000	Fournisseurs	SPENDE	SPENDESK	ANO	20240101	A-Nouveaux 2024	237,71	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	408100	Fournisseurs - fact. non parvenues			ANO	20240101	A-Nouveaux 2024	2583,60	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411000	Clients	KCCHAL	KC CHALONS	ANO	20240101	A-Nouveaux 2024	720,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411000	Clients	KCDREZ	KC DREZAC	ANO	20240101	A-Nouveaux 2024	1296,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411000	Clients	KCJALL	KC JALLES	ANO	20240101	A-Nouveaux 2024	1296,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411000	Clients	KCQUAR	KC QUARTIER FRANCAIS	ANO	20240101	A-Nouveaux 2024	1296,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411000	Clients	KCRODE	KC RODEZ	ANO	20240101	A-Nouveaux 2024	2880,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411000	Clients	KCSB00	KC SAINT-BENOIT	ANO	20240101	A-Nouveaux 2024	1296,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411000	Clients	KCSCF0	KC SAINTE-CLOTILDE FUTURA	ANO	20240101	A-Nouveaux 2024	1296,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411000	Clients	KCSGE0	KC SAINT GILLES EPERON	ANO	20240101	A-Nouveaux 2024	1296,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411000	Clients	KCSJ00	KC SAINT JOSEPH	ANO	20240101	A-Nouveaux 2024	1296,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411000	Clients	KCSLP0	KC SAINT-LEU PORTAIL	ANO	20240101	A-Nouveaux 2024	1296,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411000	Clients	KCSPPA	KC SAINT PIERRE PARADIS	ANO	20240101	A-Nouveaux 2024	1296,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411000	Clients	KCTAMP	KC TAMPON	ANO	20240101	A-Nouveaux 2024	1296,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411000	Clients	LIBASA	LIBASA	ANO	20240101	A-Nouveaux 2024	1199,99	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411450	Client Intra-Co	DGFINA	DG FINANCE	ANO	20240101	A-Nouveaux 2024	4560,83	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411450	Client Intra-Co	KCAIX0	KC AIXTENSION	ANO	20240101	A-Nouveaux 2024	12600,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411450	Client Intra-Co	KCAIX1	KC AIX	ANO	20240101	A-Nouveaux 2024	12600,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411450	Client Intra-Co	KCANG0	KC LES ANGLES	ANO	20240101	A-Nouveaux 2024	12600,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411450	Client Intra-Co	KCANT0	KC ANTONY	ANO	20240101	A-Nouveaux 2024	12600,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411450	Client Intra-Co	KCBOR0	KC BORDEAUX SITE MERIGNAC	ANO	20240101	A-Nouveaux 2024	12600,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411450	Client Intra-Co	KCDRA0	KC DRAGUIGNAN	ANO	20240101	A-Nouveaux 2024	12600,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411450	Client Intra-Co	KCLIL0	KC LILLE CENTRE	ANO	20240101	A-Nouveaux 2024	12600,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411450	Client Intra-Co	KCLPD0	KC LYON SITE PART DIEU	ANO	20240101	A-Nouveaux 2024	12600,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411450	Client Intra-Co	KCLYO8	KC LYON SITE L8	ANO	20240101	A-Nouveaux 2024	12600,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411450	Client Intra-Co	KCROU0	KC ROUEN CENTRE	ANO	20240101	A-Nouveaux 2024	12600,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	411450	Client Intra-Co	KCSTJ0	KC SAINT JULIEN	ANO	20240101	A-Nouveaux 2024	12600,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	418100	Clients - factures à établir			ANO	20240101	A-Nouveaux 2024	20016,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	422000	Comité d'entreprise			ANO	20240101	A-Nouveaux 2024	185,20	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	428200	Dettes provis. pr congés à payer			ANO	20240101	A-Nouveaux 2024	9179,35	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	428600	Personnel - autres charges à payer			ANO	20240101	A-Nouveaux 2024	5075,00	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	431000	Sécurité sociale			ANO	20240101	A-Nouveaux 2024	51732,94	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	437200	Caisse de retraite			ANO	20240101	A-Nouveaux 2024	1206,19	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	437500	Prévoyance			ANO	20240101	A-Nouveaux 2024	1314,68	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	437600	Mutuelle			ANO	20240101	A-Nouveaux 2024	1971,28	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	438200	Charges sociales s/congés à payer			ANO	20240101	A-Nouveaux 2024	3466,35	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	438600	Charges sociales - charges à payer			ANO	20240101	A-Nouveaux 2024	2182,25	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	442100	Etat - Prélèvement à la source			ANO	20240101	A-Nouveaux 2024	475,72	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	445660	TVA déductible s/aut.biens et sces			ANO	20240101	A-Nouveaux 2024	1849,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	445670	Crédit de TVA à reporter			ANO	20240101	A-Nouveaux 2024	18834,58	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	445710	TVA collectée			ANO	20240101	A-Nouveaux 2024	26820,13	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	445860	TVA sur factures non parvenues			ANO	20240101	A-Nouveaux 2024	430,60	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	445870	TVA sur factures à établir			ANO	20240101	A-Nouveaux 2024	3336,00	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	448600	Etat - autres charges à payer			ANO	20240101	A-Nouveaux 2024	439,00	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	448632	Taxe d'apprentissage CAP			ANO	20240101	A-Nouveaux 2024	177,71	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	448633	Formation continue CAP			ANO	20240101	A-Nouveaux 2024	73,14	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	455100	CC Verona			ANO	20240101	A-Nouveaux 2024	667217,95	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	488616	Abonnement assurance			ANO	20240101	A-Nouveaux 2024	131599,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	488616	Abonnement assurance			ANO	20240101	A-Nouveaux 2024	131599,00	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	488618	Abonnement infogérance			ANO	20240101	A-Nouveaux 2024	10137,58	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	488618	Abonnement infogérance			ANO	20240101	A-Nouveaux 2024	10137,58	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	488621	Abonnement honoraires divers			ANO	20240101	A-Nouveaux 2024	659,51	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	488621	Abonnement honoraires divers			ANO	20240101	A-Nouveaux 2024	659,51	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	488626	Abonnement maintenance informatique			ANO	20240101	A-Nouveaux 2024	1200,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	488626	Abonnement maintenance informatique			ANO	20240101	A-Nouveaux 2024	1200,00	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	488632	Abonnement CVAE			ANO	20240101	A-Nouveaux 2024	3911,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	488632	Abonnement CVAE			ANO	20240101	A-Nouveaux 2024	3911,00	C			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	488651	Abonnement redevances logiciels			ANO	20240101	A-Nouveaux 2024	756,00	D			19000101		
ANO	ANO - A nouveaux	2024010000000004	20240101	488651	Abonnement redevances logiciels			ANO	20240101	A-Nouveaux 2024	756,00	C			19000101		
