Pays,Clics,Impressions,CTR,Position
France,8,3643,0.22%,10.22
Maroc,2,13,15.38%,12
Algérie,2,11,18.18%,6.64
Allemagne,1,27,3.7%,26.37
États-Unis,0,139,0%,11.35
Pays-Bas,0,40,0%,77.8
Belgique,0,29,0%,10.9
Canada,0,13,0%,19.69
Suisse,0,10,0%,8
Luxembourg,0,5,0%,10.2
Sénégal,0,4,0%,5.5
Sahara oriental,0,4,0%,8
République démocratique du Congo,0,4,0%,8.75
Côte d'Ivoire,0,3,0%,2.33
Tunisie,0,3,0%,4
Cameroun,0,3,0%,4.33
Madagascar,0,3,0%,5.33
Brésil,0,3,0%,6.33
Turquie,0,3,0%,10
Niger,0,3,0%,11
Israël,0,3,0%,40.67
Italie,0,3,0%,45.33
Royaume-Uni,0,2,0%,5.5
Indonésie,0,2,0%,7.5
Djibouti,0,2,0%,9.5
Congo-Brazzaville,0,1,0%,1
Australie,0,1,0%,2
Autriche,0,1,0%,2
Pérou,0,1,0%,6
Bulgarie,0,1,0%,7
République Dominicaine,0,1,0%,7
Portugal,0,1,0%,7
Réunion (Île de la),0,1,0%,7
Trinité-et-Tobago,0,1,0%,7
Kirghizistan,0,1,0%,8
Singapour,0,1,0%,8
Liban,0,1,0%,9
Lettonie,0,1,0%,9
Philippines,0,1,0%,9
Guadeloupe,0,1,0%,10
Corée du Sud,0,1,0%,11
Émirats Arabes Unis,0,1,0%,12
Haïti,0,1,0%,12
Malaisie,0,1,0%,13
Inde,0,1,0%,16
Ukraine,0,1,0%,27
Cambodge,0,1,0%,44
Espagne,0,1,0%,50
Liechtenstein,0,1,0%,59
