Date,Clics,Impressions,CTR,Position
2025-11-27,0,0,,
2025-11-28,0,2,0%,6.5
2025-11-29,0,8,0%,22.8
2025-11-30,1,23,4.35%,19.6
2025-12-01,1,33,3.03%,17.7
2025-12-02,0,37,0%,16.6
2025-12-03,0,15,0%,31.5
2025-12-04,0,34,0%,57.1
2025-12-05,0,11,0%,34.6
2025-12-06,1,8,12.5%,32.5
2025-12-07,0,13,0%,47.3
2025-12-08,0,12,0%,16.6
2025-12-09,0,13,0%,34.2
2025-12-10,0,23,0%,32.5
2025-12-11,0,28,0%,42.3
2025-12-12,1,23,4.35%,32.3
2025-12-13,0,7,0%,38.7
2025-12-14,2,11,18.18%,38.2
2025-12-15,0,11,0%,30.5
2025-12-16,0,17,0%,19.2
2025-12-17,1,17,5.88%,17.6
2025-12-18,1,33,3.03%,37.1
2025-12-19,0,13,0%,30.2
2025-12-20,0,11,0%,29.5
2025-12-21,0,11,0%,44.2
2025-12-22,0,11,0%,20.3
2025-12-23,0,13,0%,21.1
2025-12-24,0,7,0%,38.3
2025-12-25,1,19,5.26%,36.5
2025-12-26,0,8,0%,27.2
2025-12-27,0,7,0%,52.6
2025-12-28,0,14,0%,40
2025-12-29,0,17,0%,19.6
2025-12-30,0,11,0%,36.6
2025-12-31,0,19,0%,26.9
2026-01-01,0,20,0%,44.4
2026-01-02,0,15,0%,24.1
2026-01-03,0,7,0%,36.3
2026-01-04,0,10,0%,25.1
2026-01-05,0,11,0%,39.5
2026-01-06,0,10,0%,12.1
2026-01-07,0,17,0%,17.9
2026-01-08,0,20,0%,26.6
2026-01-09,0,37,0%,42.7
2026-01-10,0,8,0%,44.2
2026-01-11,0,13,0%,36.2
2026-01-12,0,16,0%,22.4
2026-01-13,0,10,0%,20.4
2026-01-14,0,15,0%,19.6
2026-01-15,0,9,0%,33.4
2026-01-16,0,207,0%,6.7
2026-01-17,1,287,0.35%,3.8
2026-01-18,0,286,0%,3.9
2026-01-19,0,303,0%,4
2026-01-20,0,291,0%,3.7
2026-01-21,0,289,0%,5
2026-01-22,0,305,0%,6.4
2026-01-23,0,169,0%,4.4
2026-01-24,0,9,0%,25.4
2026-01-25,0,17,0%,13.5
2026-01-26,2,28,7.14%,24
