Pays,Clics,Impressions,CTR,Position
France,7,2695,0.26%,11
Algérie,2,10,20%,6.7
Maroc,2,10,20%,10.9
Allemagne,1,21,4.76%,22.33
États-Unis,0,86,0%,7.9
Pays-Bas,0,31,0%,85.71
Belgique,0,25,0%,5.32
Canada,0,10,0%,17.1
Suisse,0,8,0%,7.62
Sénégal,0,4,0%,5.5
Sahara oriental,0,4,0%,8
Tunisie,0,3,0%,4
Madagascar,0,3,0%,5.33
Turquie,0,3,0%,10
République démocratique du Congo,0,3,0%,11.33
Luxembourg,0,3,0%,15
Italie,0,3,0%,45.33
Cameroun,0,2,0%,2
Côte d'Ivoire,0,2,0%,3
Djibouti,0,2,0%,9.5
Australie,0,1,0%,2
Autriche,0,1,0%,2
Royaume-Uni,0,1,0%,2
Pérou,0,1,0%,6
Portugal,0,1,0%,7
Trinité-et-Tobago,0,1,0%,7
Kirghizistan,0,1,0%,8
Singapour,0,1,0%,8
Liban,0,1,0%,9
Lettonie,0,1,0%,9
Guadeloupe,0,1,0%,10
Israël,0,1,0%,11
Corée du Sud,0,1,0%,11
Niger,0,1,0%,11
Émirats Arabes Unis,0,1,0%,12
Haïti,0,1,0%,12
Malaisie,0,1,0%,13
Inde,0,1,0%,16
Ukraine,0,1,0%,27
Espagne,0,1,0%,50
Liechtenstein,0,1,0%,59
